id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
a1fa0704-7aab-4226-990d-5790d34c5d27,(gd) T cell is associated with?,CD4,CD5,Cd8,First line defense against bacterial peptides,3,single,"Ans. D-First line defense against bacterial peptides(gd) T cell: Gamma delta (gd) T cells have a TCR that is made up of one g (gamma) chain and one d (delta) chain.This group of T cells is usually much less common than ab T cells, but are at their highest abundance in the gut mucosa, within a population of lymphocytes known as intraepithelial lymphocytes (IELs).Constitute 5% of total cells, express y/6 chains of TCR chains; instead of ?/b chains.They lack both CD4 and CD8 molecules.They do not require antigen processing and MHC presentation of peptides.They lack both CD4 and CD8 molecules.They do not require antigen processing and MHC presentation of peptides.They are pa of innate immunity as the(gd) receptors exhibit limited diversity for the antigen.They are usually found in the gut mucosa, as intraepithelial lymphocytes (IELs).The function of (gd) T-cells is not known, they may encounter the lipid antigens that enter through the intestinal mucosa.",Microbiology,
080ecd84-88cb-49eb-a9f5-03569b7fa1f0,"Episodes of repeated thin stools with mucus, subjective feeling of fever and lower abdominal pain, with leukocytes in stool. Which of the following is likely?",Giardia,Entamoeba,Staph,Clostridium perfringens,1,single,As leucocytes are present in stools so it is inflammatory type of diarrhea. So the likely organism is Entamoeba As Staph and C. perfringens are responsible for water diarrhea (non-inflammatory diarrhea) Giardia cause malabsorption syndrome.,Microbiology,AIIMS 2018
97ad9005-24a1-4eb2-b57a-64e7060897c0,Which of the following enzyme is required to induce the formation of a plasma clot pathogenic staphylococci,Lysozyme,Fibrinolysin,Coagulase,S protein,2,single,,Microbiology,
415631ce-90ea-4872-a5cf-3fe2c83e3b4d,"A patient comes to your clinic with a complaint of multiple episodes of loose watery stool for 3 days. On probing, you discover that these episodes sta after he had ingested shellfish at a local restaurant 3 days back and other people who had food from that restaurant had similar symptoms. What is the most common cause of viral diarrhoea in adults?",Calicivirus,Rotavirus,Adenovirus,Norovirus,3,single,"Ans: D. NorovirusRef Harrison 19/e p1285, 1286; Jawetz 27/e p537History of multiple episodes of loose watery stool for 3 days & history of ingestion shellfish with similar symptoms in other patients who consumed the shellfish is suggestive of acute viral gastroenteritis.Most likely organism responsible - Norovirus.Noroviruses:Most common infectious agents of mild gastroenteritis in the community and affect all age groups, whereas sapoviruses primarily cause gastroenteritis in children.",Microbiology,
f7469b1f-dda2-476a-9b27-312a080e0c8a,Postrenal transplant patient presents with diarrhoea after 3 months; it was showing organism measuring 2-6 micron meter and kinoyn stain positive. Most likely it is caused by:,Balantidium coli,Clostridium difficile,Cystoisospora belli,Cryptosporidium hominis,3,single,"Ans. d. Cryptosporidium hominisOppounistic infections are extremely common post-transplant in the period staing from 1 month post-transplant to 6 months post-transplant.Clostridium difficle is usually seen within 1 month post-transplant because of profound antibiotic use.Kinoyn stain (Modified acid fast) positivity rules out Balantidium.Now it is between cryptosporidium vs cycloisospora. Size (smaller i.e., 2-6 microns) tells us that the organism is undoubtedly cryptosporidium hominis (previously parvum).",Microbiology,
e99cd253-50f5-421d-a17b-eeb17ed1999c,A young male complains of burning sensation upon urination and a purulent urethral discharge. Gram stain of the specimen shows pus cells with Gram negative diplococci. What is not true about the organism?,Pili is a virulence factor,Intracellular obligate,Show twitching motility,It is both catalase and oxidase positive,1,multi,The picture depicts Neisseria gonorrhea which have pili as a virulence factor and are both catalase and oxidase positive and show slow twitching (false kind of motility) But are not strict intracellular aerobes.it could be extracellular.,Microbiology,AIIMS 2019
e974e66a-b20d-4557-84df-bbb0af02f12a,Lepromin test is useful for,Diagnosis,Prognosis,Treatment plan,Epidemiology,1,single,,Microbiology,
176fbf9b-b17d-4a54-9e1e-e3a312424349,An infant presented with the following lesions on his face and limbs. Which of the following is the most likely causative organism?,HSV,HPV,Coxsackie,CMV,2,single,"Hand foot and mouth disease can be caused by Coxsackie virus A16, Coxsackie virus B and Enterovirus 71. It is characterized by oral and pharyngeal ulcerations and vesicular rashes of the palms and soles which heal without crusting.",Microbiology,AIIMS 2017
77a7b433-d391-4cef-b44e-5a9fd45d4756,Adult stage of filarial worms responsible for diseases in all of the following except:,Brugia malayi,Onchocerca volvulus,Mansonella ozzardi,Wuchereria bancrofti,1,multi,"Ans: B. Onchocerca volvulus Adult stage of Onchocerca volvulus filarial worms does not cause any illness or disease.Onchocerciasis:Primarily affects skin, eyes & lymph nodes.In contrast to pathology in lymphatic filariasis, onchocerciasis damage elicited by microfilariae & not by adult parasites.Onchocerca microfilariae:Released from female worms causing most severe damage.Migrating microfilariae (exclusively found in interstitial fluids of skin & subdermal tissues not bloodstream).Cause changes in skin pigment & loss of elastic fibers a ""hanging groin, severe intractable & intolerable pruritus.Blindness (primarily men) develops over many years - Due to microfilariae accumulation in vitreous humor.Are not blood borne & hence, concentrate & remain in eye.Visual clouding, photophobia & ultimately retinal damage a Incurable blindness.(Ref: Harrison 19/e p1420).",Microbiology,
f8d6c4a7-2037-44be-bbf6-8a1ea4b0de54,The incubation period of LGV is?,3-7 days,7-10 days,10-30 days,30-90 days,2,single,Ans. C. 10-30 daysThe incubation period for LGV (the time interval between sexual contact and the appearance of symptoms) varies on average from 10 to 14 days. At times the incubation period may be as long as up to 6 weeks after sexual contact with an infected paner. Feature SyphilisHerpes ChancroidLGV Donovanosis Incubation period 9-90 days 2-7 days 1-14 days3 days-6weeks 1-4 weeks(up to 6 months),Microbiology,
68d5b275-e544-4393-9c77-8e801e483a33,"A type of immediately occurring reaction in which antigens combine with antibodies already attached 
to the surface of mast cells and basophils is called:",Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type IV hypersensitivity,0,multi,,Microbiology,
