id,source,probA,probB,probC,probD,answer,time,error,sources,ids,similarity
0.0,MEDMCQA,0.6320813894271851,0.14103642106056213,0.18109434843063354,0.04578782245516777,3,0.14626526832580566,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163659326, 468502519163152466, 468502519163677955, 468502519163692363, 468502519163495037]","[0.7728725075721741, 0.7308183908462524, 0.7286089062690735, 0.7166568040847778, 0.7126016616821289]"
1.0,MEDMCQA,0.9997591376304626,9.608850086806342e-05,0.0001233800721820444,2.144024256267585e-05,0,0.07975530624389648,False,"['STAT', 'PBMD', 'STAT', 'STAT', 'STAT']","[468502519162868945, 468502519163120801, 468502519162697709, 468502519162968322, 468502519162968323]","[0.8076400756835938, 0.8065980672836304, 0.8038607835769653, 0.8000075817108154, 0.7917580008506775]"
2.0,MEDMCQA,0.0054634325206279755,0.9188080430030823,0.07542035728693008,0.00030822574626654387,1,0.09277558326721191,False,"['STAT', 'PBMD', 'TEXT', 'STAT', 'PBMD']","[468502519162436790, 468502519163335938, 468502519162401815, 468502519162436810, 468502519163265615]","[0.8004849553108215, 0.765863299369812, 0.7518337965011597, 0.7474445700645447, 0.7409714460372925]"
3.0,MEDMCQA,0.9495943188667297,0.01970820128917694,0.015348762273788452,0.015348762273788452,2,0.15941166877746582,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163644425, 468502519163376314, 468502519163263134, 468502519163723815, 468502519163047454]","[0.8122302889823914, 0.8070205450057983, 0.8045667409896851, 0.8037468194961548, 0.802266001701355]"
4.0,MEDMCQA,0.22514143586158752,0.07309272885322571,0.22514143586158752,0.47662442922592163,3,0.1834397315979004,False,"['PBMD', 'TEXT', 'STAT', 'PBMD', 'TEXT']","[468502519163158392, 468502519162313412, 468502519162960480, 468502519163615700, 468502519162313411]","[0.8281136751174927, 0.8255059123039246, 0.8087332844734192, 0.8071306347846985, 0.8022456169128418]"
5.0,MEDMCQA,0.9999980926513672,1.7603429114387836e-06,4.139929643542928e-08,6.825590759262923e-08,0,0.09201264381408691,False,"['PBMD', 'PBMD', 'TEXT', 'PBMD', 'PBMD']","[468502519163839522, 468502519163836481, 468502519162329772, 468502519163853381, 468502519163597762]","[0.7889091372489929, 0.7748363018035889, 0.7681910395622253, 0.7636258006095886, 0.7558895945549011]"
6.0,MEDMCQA,0.027080640196800232,0.07361280918121338,0.0025188918225467205,0.8967876434326172,1,0.10056757926940918,False,"['PBMD', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519163628595, 468502519163431371, 468502519162720981, 468502519163431451, 468502519163117830]","[0.7456942200660706, 0.7443134784698486, 0.739014744758606, 0.734012246131897, 0.7323384284973145]"
7.0,MEDMCQA,0.18313685059547424,0.43932247161865234,0.2664625644683838,0.11107811331748962,1,0.1157987117767334,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163134043, 468502519163669190, 468502519163823538, 468502519163531524, 468502519163118872]","[0.7635937929153442, 0.7244764566421509, 0.7174593210220337, 0.7107598185539246, 0.708367109298706]"
8.0,MEDMCQA,0.0712079331278801,0.005845102947205305,0.8674901723861694,0.05545679107308388,2,0.11419081687927246,False,"['PBMD', 'PBMD', 'STAT', 'STAT', 'STAT']","[468502519163119491, 468502519163435900, 468502519162788370, 468502519162457940, 468502519162457929]","[0.8424609303474426, 0.834330141544342, 0.8174548745155334, 0.8103271126747131, 0.8097202777862549]"
9.0,MEDMCQA,0.16811968386173248,0.1905045509338379,0.05458046868443489,0.5867953300476074,1,0.10715675354003906,False,"['PBMD', 'PBMD', 'PBMD', 'STAT', 'TEXT']","[468502519163375824, 468502519163217996, 468502519163468483, 468502519162445367, 468502519162388463]","[0.7858111262321472, 0.784285843372345, 0.7796214818954468, 0.7773634195327759, 0.771064043045044]"
10.0,MEDMCQA,6.144162398413755e-06,0.9999918937683105,1.2098573733965168e-06,7.338155683100922e-07,1,0.13217878341674805,False,"['TEXT', 'TEXT', 'STAT', 'PBMD', 'TEXT']","[468502519162382505, 468502519162354559, 468502519162891895, 468502519163204831, 468502519162333467]","[0.8086576461791992, 0.808600127696991, 0.802100658416748, 0.7977123856544495, 0.7971157431602478]"
11.0,MEDMCQA,0.9996583461761475,0.00029594358056783676,2.1438081603264436e-05,2.4292528905789368e-05,0,0.1304008960723877,False,"['TEXT', 'PBMD', 'TEXT', 'STAT', 'PBMD']","[468502519162298341, 468502519163896842, 468502519162393459, 468502519162803176, 468502519163247987]","[0.8119334578514099, 0.8105829954147339, 0.8089232444763184, 0.8086787462234497, 0.808491587638855]"
12.0,MEDMCQA,0.06314640492200851,0.015965910628437996,0.8717091679573059,0.04917846620082855,2,0.11232376098632812,False,"['STAT', 'STAT', 'PBMD', 'TEXT', 'STAT']","[468502519162768013, 468502519162922268, 468502519163271991, 468502519162388580, 468502519162798058]","[0.7964504957199097, 0.7911325693130493, 0.7903556823730469, 0.7801676392555237, 0.7793976068496704]"
13.0,MEDMCQA,0.18890075385570526,0.03719676285982132,0.11457409709692001,0.6593284010887146,3,0.10667729377746582,False,"['STAT', 'PBMD', 'STAT', 'TEXT', 'PBMD']","[468502519162849492, 468502519163436845, 468502519162912100, 468502519162296532, 468502519163254664]","[0.7639110684394836, 0.7589412927627563, 0.7503101825714111, 0.7481134533882141, 0.7470853328704834]"
14.0,MEDMCQA,5.144128590472974e-05,1.3708638562093256e-06,0.9999305009841919,1.6700540072633885e-05,2,0.11403656005859375,False,"['PBMD', 'STAT', 'PBMD', 'STAT', 'STAT']","[468502519163833636, 468502519162704248, 468502519163593742, 468502519162429794, 468502519162722546]","[0.7763071656227112, 0.7645809650421143, 0.7606265544891357, 0.7597680687904358, 0.7592158913612366]"
