question,a,b,c,d,answer,source,id
Which of these findings is not specific of blast injury?,Abrasion,Bruise,Puncture laceration,Fracture,3,MEDMCQA,0
Trismus is due to inflammation of:,Medial pterygoid,Facial nerve irritation,Superior constrictor,Buccinator,0,MEDMCQA,1
"According to the intelligence quotient classification, a score of 90-110 is:",Low average.,Average,Superior,Mentally retarded.,1,MEDMCQA,2
"In a child, surgery was done for biliary stricture with hepatojejunal anastomosis. Postoperative bilirubin level after 2 weeks was 6 mg/dL from a preoperative level 12mg/dL. The reason for this could be:",Normal lowering of bilirubin takes time,Anastomotic stricture,Delta bilirubin,Mistake in lab technique,2,MEDMCQA,3
"A 16-year old girl was brought with primary amenorrhea. Her mother mentioned that she staed developing breast at the age of 12. She was prescribed OCPs 2 years back by a doctor with no effect. She was having normal stature and was a football player. On examination, breasts were well developed (Tanner's stage 5) and pubic hair was minimal (Tanner's stage 1). What is the most probable diagnosis?",Premature ovarian failure,Turner's syndrome,Miillerian agenesis,Androgen insensitivity,3,MEDMCQA,4
Which drug causes flagellate pigmentation of skin?,Bleomycin,Minocycline,Vincristine,Daunorubicin,0,MEDMCQA,5
Mandibulectomy cantor Curtis class 2 defect Is,Midline,lateral to canine,Alveolus,discontinuity defect,1,MEDMCQA,6
Which of the following blade angle is appropriate for scaling and root planing,A,B,C,D,1,MEDMCQA,7
Alginate impression material is similar to agar-agar impression material in the following respect:,Gelation increases in both on increase in temperature,Mixing time is increased to reduce the setting time,Deformation during removal of impression occurs due to distortion of gel. fibers,Both can be re-used for fresh impressions,2,MEDMCQA,8
"To establish the diagnosis of H-type trachea-esophageal fistula, which if the following is required?",Chest X-ray,Tracheo-bronchoscopy,CT scan,Esophagoscopy,1,MEDMCQA,9
Iron is taken up into enterocytes through which of the following?,DMT-2,DMT-1,Ferroprotein 1,GLUT1,1,MEDMCQA,10
"A lady presented with fatigue and tingling sensation in both hands and legs. On examination, she is found to have a fissured red tongue, lesions at angle of mouth and peripheral neuropathy with a decreased RBC glutathione reductase activity. What is the likely deficient vitamin?",Riboflavin,Vitamin B12,Thiamine,Vitamin B6,0,MEDMCQA,11
"4 year old boy presented with recurrent chest infections. Sweat chloride test was done, showed values of 36 and 42. What is the next best investigation to confirm the diagnosis ?",72 hour fecal fat estimation,CT chest,Transepithelial nasal potential difference,DNA analysis of delta F 508 mutation,2,MEDMCQA,12
Which of the following structures is not present on the internal surface of mandible?,Genial tubercle,Mylohyoid ridge,Lingula,Mental foramen,3,MEDMCQA,13
Which of the following drug can decrease the size of prostate?,Tamsulosin,Sildenafil,Finasteride,Prazosin,2,MEDMCQA,14
Km value indicates:,Purity of Enzyme,Physiological role,The substrate concentration at half maximal velocity,Aﬃnity,2,MEDMCQA,15
"Tooth in the mandibular arch which is most likely to be
displaced due to arch size discrepancy is",First molar,Second molar,First premolar,Second premolar,3,MEDMCQA,16
