id,source,probA,probB,probC,probD,probE,answer,time,error,sources,ids,similarity
0,MEDQA,0.04934611916542053,0.6011587977409363,0.15199674665927887,0.06336166709661484,0.13413666188716888,2,0.3247978687286377,False,"['TEXT', 'STAT', 'PBMD', 'TEXT', 'STAT']","[468502519162419238, 468502519162804824, 468502519163003037, 468502519162419239, 468502519162725956]","[0.788301944732666, 0.776858925819397, 0.752010703086853, 0.7805894613265991, 0.767785906791687]"
1,MEDQA,0.2827969789505005,0.10403519123792648,0.3631184995174408,0.05568602681159973,0.19436334073543549,4,0.33525753021240234,False,"['STAT', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[468502519162463460, 468502519162803025, 468502519163959629, 468502519163762620, 468502519163669127]","[0.8022149801254272, 0.7991020083427429, 0.8087171316146851, 0.8275304436683655, 0.8109774589538574]"
2,MEDQA,0.0013156661298125982,0.0013156661298125982,0.9916231036186218,0.0021691666916012764,0.0035763513296842575,2,0.5273439884185791,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163128432, 468502519163939203, 468502519163751419, 468502519163968916, 468502519163576601]","[0.7741281390190125, 0.7759219408035278, 0.7778491377830505, 0.7752712965011597, 0.7865031957626343]"
3,MEDQA,0.16257907450199127,0.5674567222595215,0.02493230812251568,0.03627629205584526,0.20875567197799683,3,0.5406801700592041,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163345479, 468502519163155808, 468502519163013377, 468502519163154071, 468502519163932367]","[0.7986013889312744, 0.7794308066368103, 0.7905656695365906, 0.7816475629806519, 0.7949286103248596]"
4,MEDQA,0.07602573186159134,0.4957500398159027,0.1106167882680893,0.2653558850288391,0.0522516667842865,1,0.4891853332519531,False,"['STAT', 'PBMD', 'STAT', 'STAT', 'PBMD']","[468502519162717305, 468502519163242475, 468502519162487888, 468502519162838336, 468502519163488856]","[0.769107460975647, 0.7683610916137695, 0.7694876194000244, 0.7615015506744385, 0.7649233341217041]"
5,MEDQA,0.08699824661016464,0.23648574948310852,0.16253411769866943,0.013341613113880157,0.500640332698822,4,0.3617219924926758,False,"['PBMD', 'STAT', 'STAT', 'PBMD', 'TEXT']","[468502519163953636, 468502519162729014, 468502519162754650, 468502519163681416, 468502519162390966]","[0.7790088653564453, 0.8038643598556519, 0.7909889221191406, 0.7795652151107788, 0.7912205457687378]"
6,MEDQA,0.9622109532356262,0.010689198039472103,0.010689198039472103,0.010689198039472103,0.0057215155102312565,3,0.31386303901672363,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162822440, 468502519163659397, 468502519163506024, 468502519163183210, 468502519163769161]","[0.7860835790634155, 0.7899453639984131, 0.7669838666915894, 0.7662773132324219, 0.7848947048187256]"
7,MEDQA,0.0042752414010465145,0.010255771689116955,0.9231951236724854,0.02171146869659424,0.04056236520409584,2,0.5192315578460693,False,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'TEXT']","[468502519163822394, 468502519162390966, 468502519163758589, 468502519163955446, 468502519162389975]","[0.8044015765190125, 0.7989494800567627, 0.7955955266952515, 0.7957013249397278, 0.7955291867256165]"
8,MEDQA,0.18311208486557007,0.031820107251405716,0.6391239762306213,0.0864960253238678,0.059447791427373886,2,0.32399964332580566,False,"['TEXT', 'TEXT', 'TEXT', 'STAT', 'PBMD']","[468502519162307658, 468502519162309261, 468502519162375245, 468502519162434145, 468502519163301091]","[0.778314471244812, 0.7696180939674377, 0.7888336777687073, 0.7695751190185547, 0.7700110077857971]"
9,MEDQA,0.534734845161438,0.2525908350944519,0.13520213961601257,0.03873606398701668,0.03873606398701668,0,0.25853490829467773,False,"['STAT', 'STAT', 'STAT', 'PBMD', 'TEXT']","[468502519162723435, 468502519162810196, 468502519162728890, 468502519163204361, 468502519162418523]","[0.7420843243598938, 0.7507055997848511, 0.7571095824241638, 0.745921790599823, 0.7396757006645203]"
10,MEDQA,0.002452266402542591,0.0014873746549710631,0.002164117293432355,0.004581436514854431,0.9893147945404053,4,0.5208194255828857,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162695545, 468502519163637322, 468502519163621236, 468502519163873231, 468502519163820668]","[0.807559072971344, 0.7921636700630188, 0.8108765482902527, 0.7992006540298462, 0.7884489893913269]"
11,MEDQA,0.0015692153247073293,0.0015692153247073293,0.05888436734676361,0.9211065173149109,0.016870655119419098,3,0.5006794929504395,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163961772, 468502519163752132, 468502519163868110, 468502519163698349, 468502519163899266]","[0.7680715918540955, 0.7713509798049927, 0.7831425666809082, 0.7700682878494263, 0.7865838408470154]"
12,MEDQA,0.0027352282777428627,0.973808765411377,0.013890635222196579,0.002130198059603572,0.007435121573507786,1,0.308823823928833,False,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468502519162931561, 468502519162458818, 468502519162700923, 468502519162384745, 468502519162333127]","[0.7705386877059937, 0.7948616147041321, 0.7908225059509277, 0.7782365083694458, 0.7716038227081299]"
13,MEDQA,0.19567836821079254,0.13448765873908997,0.05606279522180557,0.01103941909968853,0.6027318239212036,4,0.5408494472503662,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163451184, 468502519163420791, 468502519163361968, 468502519163530825, 468502519163960555]","[0.7683356404304504, 0.7615158557891846, 0.7745478749275208, 0.7618278861045837, 0.7712498903274536]"
14,MEDQA,0.24575157463550568,0.13154134154319763,0.11608481407165527,0.3575664162635803,0.1490558534860611,3,0.4351775646209717,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163368420, 468502519163072601, 468502519163386836, 468502519163104621, 468502519163019769]","[0.7608444690704346, 0.7584471702575684, 0.7570009827613831, 0.7571775913238525, 0.764912486076355]"
15,MEDQA,0.24005961418151855,0.27202317118644714,0.07793594896793365,0.34928467869758606,0.06069657579064369,1,0.3836202621459961,False,"['TEXT', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[468502519162349900, 468502519162894875, 468502519163967599, 468502519163705601, 468502519163114833]","[0.7962104678153992, 0.7814958095550537, 0.781140148639679, 0.7827980518341064, 0.7807445526123047]"
